adaptation_factor,scenario_type,noise_type,noise_probability,attack_type,mean_mismatch,mean_threshold,outcome_count
0.0,attack,depolarizing,0.1,pauli_x,0.419385,0.26,8
0.0,attack,depolarizing,0.1,pauli_y,0.666113,0.26,14
0.0,attack,depolarizing,0.1,pauli_z,0.421143,0.26,10
0.0,attack,depolarizing,0.1,entanglement_disruption,0.448779,0.26,20
0.0,attack,readout,0.1,pauli_x,0.615576,0.26,14
0.0,attack,readout,0.1,pauli_y,0.702002,0.26,16
0.0,attack,readout,0.1,pauli_z,0.57168,0.26,13
0.0,attack,readout,0.1,entanglement_disruption,0.40957,0.26,14
0.1,normal,bit_flip,0.0,none,0.0,0.26,0
0.1,normal,bit_flip,0.05,none,0.107031,0.265352,0
0.1,normal,bit_flip,0.1,none,0.153906,0.267695,1
0.1,normal,bit_flip,0.15,none,0.22915,0.271458,8
0.1,normal,bit_flip,0.2,none,0.287842,0.274392,11
0.1,normal,phase_flip,0.0,none,0.0,0.26,0
0.1,normal,phase_flip,0.05,none,0.08291,0.264146,0
0.1,normal,phase_flip,0.1,none,0.168311,0.268416,0
0.1,normal,phase_flip,0.15,none,0.163086,0.268154,11
0.1,normal,phase_flip,0.2,none,0.19668,0.269834,11
0.1,normal,bit_phase_flip,0.0,none,0.0,0.26,0
0.1,normal,bit_phase_flip,0.05,none,0.136914,0.266846,0
0.1,normal,bit_phase_flip,0.1,none,0.212012,0.270601,11
0.1,normal,bit_phase_flip,0.15,none,0.319482,0.275974,13
0.1,normal,bit_phase_flip,0.2,none,0.348193,0.27741,13
0.1,normal,depolarizing,0.0,none,0.0,0.26,0
0.1,normal,depolarizing,0.05,none,0.084912,0.264246,0
0.1,normal,depolarizing,0.1,none,0.129053,0.266453,0
0.1,normal,depolarizing,0.15,none,0.235791,0.27179,14
0.1,normal,depolarizing,0.2,none,0.250879,0.272544,11
0.1,normal,readout,0.0,none,0.0,0.26,0
0.1,normal,readout,0.05,none,0.112793,0.26564,0
0.1,normal,readout,0.1,none,0.200342,0.270017,0
0.1,normal,readout,0.15,none,0.287012,0.274351,10
0.1,normal,readout,0.2,none,0.342139,0.277107,20
0.1,attack,bit_flip,0.1,pauli_x,0.502051,0.285103,11
0.1,attack,bit_flip,0.1,pauli_y,0.621826,0.291091,15
0.1,attack,bit_flip,0.1,pauli_z,0.508105,0.285405,12
0.1,attack,bit_flip,0.1,entanglement_disruption,0.411914,0.280596,20
0.1,attack,phase_flip,0.1,pauli_x,0.657129,0.292856,15
0.1,attack,phase_flip,0.1,pauli_y,0.777979,0.298899,16
0.1,attack,phase_flip,0.1,pauli_z,0.392725,0.279636,10
0.1,attack,phase_flip,0.1,entanglement_disruption,0.448584,0.282429,20
0.1,attack,bit_phase_flip,0.1,pauli_x,0.695264,0.294763,20
0.1,attack,bit_phase_flip,0.1,pauli_y,0.678906,0.293945,20
0.1,attack,bit_phase_flip,0.1,pauli_z,0.569922,0.288496,16
0.1,attack,bit_phase_flip,0.1,entanglement_disruption,0.4625,0.283125,20
0.1,attack,depolarizing,0.1,pauli_x,0.722705,0.296135,17
0.1,attack,depolarizing,0.1,pauli_y,0.548535,0.287427,10
0.1,attack,depolarizing,0.1,pauli_z,0.590869,0.289543,15
0.1,attack,depolarizing,0.1,entanglement_disruption,0.428955,0.281448,18
0.1,attack,readout,0.1,pauli_x,0.541016,0.287051,12
0.1,attack,readout,0.1,pauli_y,0.562988,0.288149,11
0.1,attack,readout,0.1,pauli_z,0.613525,0.290676,14
0.1,attack,readout,0.1,entanglement_disruption,0.399463,0.279973,12
0.2,normal,bit_flip,0.0,none,0.0,0.26,0
0.2,normal,bit_flip,0.05,none,0.098584,0.269858,0
0.2,normal,bit_flip,0.1,none,0.201074,0.280107,0
0.2,normal,bit_flip,0.15,none,0.226953,0.282695,8
0.2,normal,bit_flip,0.2,none,0.308008,0.290801,12
0.2,normal,phase_flip,0.0,none,0.0,0.26,0
0.2,normal,phase_flip,0.05,none,0.086035,0.268604,0
0.2,normal,phase_flip,0.1,none,0.180664,0.278066,0
0.2,normal,phase_flip,0.15,none,0.175977,0.277598,7
0.2,normal,phase_flip,0.2,none,0.213086,0.281309,12
0.2,normal,bit_phase_flip,0.0,none,0.0,0.26,0
0.2,normal,bit_phase_flip,0.05,none,0.111279,0.271128,0
0.2,normal,bit_phase_flip,0.1,none,0.238965,0.283896,11
0.2,normal,bit_phase_flip,0.15,none,0.260596,0.28606,10
0.2,normal,bit_phase_flip,0.2,none,0.379834,0.297983,15
0.2,normal,depolarizing,0.0,none,0.0,0.26,0
0.2,normal,depolarizing,0.05,none,0.097656,0.269766,0
0.2,normal,depolarizing,0.1,none,0.159863,0.275986,0
0.2,normal,depolarizing,0.15,none,0.218311,0.281831,7
0.2,normal,depolarizing,0.2,none,0.269336,0.286934,14
0.2,normal,readout,0.0,none,0.0,0.26,0
0.2,normal,readout,0.05,none,0.11416,0.271416,0
0.2,normal,readout,0.1,none,0.196729,0.279673,0
0.2,normal,readout,0.15,none,0.284717,0.288472,8
0.2,normal,readout,0.2,none,0.33916,0.293916,20
0.2,attack,bit_flip,0.1,pauli_x,0.736279,0.333628,18
0.2,attack,bit_flip,0.1,pauli_y,0.605371,0.320537,13
0.2,attack,bit_flip,0.1,pauli_z,0.545361,0.314536,13
0.2,attack,bit_flip,0.1,entanglement_disruption,0.478272,0.307827,20
0.2,attack,phase_flip,0.1,pauli_x,0.700195,0.33002,14
0.2,attack,phase_flip,0.1,pauli_y,0.681445,0.328145,13
0.2,attack,phase_flip,0.1,pauli_z,0.469873,0.306987,12
0.2,attack,phase_flip,0.1,entanglement_disruption,0.443506,0.304351,19
0.2,attack,bit_phase_flip,0.1,pauli_x,0.693408,0.329341,20
0.2,attack,bit_phase_flip,0.1,pauli_y,0.655713,0.325571,18
0.2,attack,bit_phase_flip,0.1,pauli_z,0.361768,0.296177,9
0.2,attack,bit_phase_flip,0.1,entanglement_disruption,0.455713,0.305571,19
0.2,attack,depolarizing,0.1,pauli_x,0.584229,0.318423,12
0.2,attack,depolarizing,0.1,pauli_y,0.573193,0.317319,10
0.2,attack,depolarizing,0.1,pauli_z,0.668555,0.326855,17
0.2,attack,depolarizing,0.1,entanglement_disruption,0.435644,0.303564,17
0.2,attack,readout,0.1,pauli_x,0.641699,0.32417,15
0.2,attack,readout,0.1,pauli_y,0.673486,0.327349,15
0.2,attack,readout,0.1,pauli_z,0.576953,0.317695,13
0.2,attack,readout,0.1,entanglement_disruption,0.473828,0.307383,18
0.3,normal,bit_flip,0.0,none,0.0,0.26,0
0.3,normal,bit_flip,0.05,none,0.111865,0.27678,0
0.3,normal,bit_flip,0.1,none,0.163428,0.284514,0
0.3,normal,bit_flip,0.15,none,0.249609,0.297441,5
0.3,normal,bit_flip,0.2,none,0.356689,0.313503,16
0.3,normal,phase_flip,0.0,none,0.0,0.26,0
0.3,normal,phase_flip,0.05,none,0.086816,0.273022,0
0.3,normal,phase_flip,0.1,none,0.119336,0.2779,0
0.3,normal,phase_flip,0.15,none,0.193359,0.289004,5
0.3,normal,phase_flip,0.2,none,0.282715,0.302407,16
0.3,normal,bit_phase_flip,0.0,none,0.0,0.26,0
0.3,normal,bit_phase_flip,0.05,none,0.143408,0.281511,0
0.3,normal,bit_phase_flip,0.1,none,0.20708,0.291062,7
0.3,normal,bit_phase_flip,0.15,none,0.326221,0.308933,13
0.3,normal,bit_phase_flip,0.2,none,0.403906,0.320586,15
0.3,normal,depolarizing,0.0,none,0.0,0.26,0
0.3,normal,depolarizing,0.05,none,0.105908,0.275886,0
0.3,normal,depolarizing,0.1,none,0.125733,0.27886,0
0.3,normal,depolarizing,0.15,none,0.209863,0.291479,7
0.3,normal,depolarizing,0.2,none,0.268018,0.300203,11
0.3,normal,readout,0.0,none,0.0,0.26,0
0.3,normal,readout,0.05,none,0.099561,0.274934,0
0.3,normal,readout,0.1,none,0.203076,0.290461,0
0.3,normal,readout,0.15,none,0.282178,0.302327,5
0.3,normal,readout,0.2,none,0.338086,0.310713,16
0.3,attack,bit_flip,0.1,pauli_x,0.567188,0.345078,13
0.3,attack,bit_flip,0.1,pauli_y,0.708936,0.36634,15
0.3,attack,bit_flip,0.1,pauli_z,0.747998,0.3722,19
0.3,attack,bit_flip,0.1,entanglement_disruption,0.462549,0.329382,19
0.3,attack,phase_flip,0.1,pauli_x,0.47959,0.331938,8
0.3,attack,phase_flip,0.1,pauli_y,0.68794,0.363191,14
0.3,attack,phase_flip,0.1,pauli_z,0.435205,0.325281,11
0.3,attack,phase_flip,0.1,entanglement_disruption,0.453027,0.327954,19
0.3,attack,bit_phase_flip,0.1,pauli_x,0.579101,0.346865,20
0.3,attack,bit_phase_flip,0.1,pauli_y,0.654443,0.358167,17
0.3,attack,bit_phase_flip,0.1,pauli_z,0.489893,0.333484,14
0.3,attack,bit_phase_flip,0.1,entanglement_disruption,0.436523,0.325479,18
0.3,attack,depolarizing,0.1,pauli_x,0.58833,0.348249,12
0.3,attack,depolarizing,0.1,pauli_y,0.693311,0.363997,15
0.3,attack,depolarizing,0.1,pauli_z,0.557031,0.343555,14
0.3,attack,depolarizing,0.1,entanglement_disruption,0.479492,0.331924,19
0.3,attack,readout,0.1,pauli_x,0.605078,0.350762,14
0.3,attack,readout,0.1,pauli_y,0.561572,0.344236,11
0.3,attack,readout,0.1,pauli_z,0.456445,0.328467,9
0.3,attack,readout,0.1,entanglement_disruption,0.399951,0.319993,12
0.4,normal,bit_flip,0.0,none,0.0,0.26,0
0.4,normal,bit_flip,0.05,none,0.088184,0.277637,0
0.4,normal,bit_flip,0.1,none,0.147705,0.289541,0
0.4,normal,bit_flip,0.15,none,0.233398,0.30668,4
0.4,normal,bit_flip,0.2,none,0.33291,0.326582,13
0.4,normal,phase_flip,0.0,none,0.0,0.26,0
0.4,normal,phase_flip,0.05,none,0.077979,0.275596,0
0.4,normal,phase_flip,0.1,none,0.135791,0.287158,0
0.4,normal,phase_flip,0.15,none,0.216406,0.303281,0
0.4,normal,phase_flip,0.2,none,0.285498,0.3171,16
0.4,normal,bit_phase_flip,0.0,none,0.0,0.26,0
0.4,normal,bit_phase_flip,0.05,none,0.123877,0.284775,0
0.4,normal,bit_phase_flip,0.1,none,0.18291,0.296582,1
0.4,normal,bit_phase_flip,0.15,none,0.302783,0.320557,12
0.4,normal,bit_phase_flip,0.2,none,0.370166,0.334033,15
0.4,normal,depolarizing,0.0,none,0.0,0.26,0
0.4,normal,depolarizing,0.05,none,0.104053,0.280811,0
0.4,normal,depolarizing,0.1,none,0.180127,0.296025,0
0.4,normal,depolarizing,0.15,none,0.176367,0.295273,3
0.4,normal,depolarizing,0.2,none,0.25542,0.311084,11
0.4,normal,readout,0.0,none,0.0,0.26,0
0.4,normal,readout,0.05,none,0.109668,0.281934,0
0.4,normal,readout,0.1,none,0.19668,0.299336,0
0.4,normal,readout,0.15,none,0.274121,0.314824,3
0.4,normal,readout,0.2,none,0.34873,0.329746,14
0.4,attack,bit_flip,0.1,pauli_x,0.604736,0.380947,14
0.4,attack,bit_flip,0.1,pauli_y,0.646045,0.389209,14
0.4,attack,bit_flip,0.1,pauli_z,0.567822,0.373564,14
0.4,attack,bit_flip,0.1,entanglement_disruption,0.423877,0.344775,17
0.4,attack,phase_flip,0.1,pauli_x,0.625586,0.385117,13
0.4,attack,phase_flip,0.1,pauli_y,0.632031,0.386406,12
0.4,attack,phase_flip,0.1,pauli_z,0.356738,0.331348,9
0.4,attack,phase_flip,0.1,entanglement_disruption,0.443994,0.348799,16
0.4,attack,bit_phase_flip,0.1,pauli_x,0.6021,0.38042,20
0.4,attack,bit_phase_flip,0.1,pauli_y,0.613135,0.382627,16
0.4,attack,bit_phase_flip,0.1,pauli_z,0.378662,0.335732,10
0.4,attack,bit_phase_flip,0.1,entanglement_disruption,0.443555,0.348711,15
0.4,attack,depolarizing,0.1,pauli_x,0.681689,0.396338,15
0.4,attack,depolarizing,0.1,pauli_y,0.620898,0.38418,12
0.4,attack,depolarizing,0.1,pauli_z,0.487793,0.357559,12
0.4,attack,depolarizing,0.1,entanglement_disruption,0.406103,0.341221,11
0.4,attack,readout,0.1,pauli_x,0.604004,0.380801,14
0.4,attack,readout,0.1,pauli_y,0.705029,0.401006,16
0.4,attack,readout,0.1,pauli_z,0.513623,0.362725,11
0.4,attack,readout,0.1,entanglement_disruption,0.412402,0.34248,13
0.5,normal,bit_flip,0.0,none,0.0,0.26,0
0.5,normal,bit_flip,0.05,none,0.086328,0.281582,0
0.5,normal,bit_flip,0.1,none,0.173779,0.303445,0
0.5,normal,bit_flip,0.15,none,0.246143,0.321536,3
0.5,normal,bit_flip,0.2,none,0.323096,0.340774,9
0.5,normal,phase_flip,0.0,none,0.0,0.26,0
0.5,normal,phase_flip,0.05,none,0.097266,0.284316,0
0.5,normal,phase_flip,0.1,none,0.136768,0.294192,0
0.5,normal,phase_flip,0.15,none,0.236914,0.319229,0
0.5,normal,phase_flip,0.2,none,0.228369,0.317092,7
0.5,normal,bit_phase_flip,0.0,none,0.0,0.26,0
0.5,normal,bit_phase_flip,0.05,none,0.130273,0.292568,0
0.5,normal,bit_phase_flip,0.1,none,0.269727,0.327432,3
0.5,normal,bit_phase_flip,0.15,none,0.331934,0.342983,15
0.5,normal,bit_phase_flip,0.2,none,0.361181,0.350295,13
0.5,normal,depolarizing,0.0,none,0.0,0.26,0
0.5,normal,depolarizing,0.05,none,0.091699,0.282925,0
0.5,normal,depolarizing,0.1,none,0.182715,0.305679,0
0.5,normal,depolarizing,0.15,none,0.220996,0.315249,0
0.5,normal,depolarizing,0.2,none,0.247705,0.321926,9
0.5,normal,readout,0.0,none,0.0,0.26,0
0.5,normal,readout,0.05,none,0.113428,0.288357,0
0.5,normal,readout,0.1,none,0.194824,0.308706,0
0.5,normal,readout,0.15,none,0.27793,0.329482,0
0.5,normal,readout,0.2,none,0.339014,0.344753,5
0.5,attack,bit_flip,0.1,pauli_x,0.681006,0.430251,17
0.5,attack,bit_flip,0.1,pauli_y,0.684619,0.431155,15
0.5,attack,bit_flip,0.1,pauli_z,0.558496,0.399624,14
0.5,attack,bit_flip,0.1,entanglement_disruption,0.424072,0.366018,13
0.5,attack,phase_flip,0.1,pauli_x,0.730322,0.442581,16
0.5,attack,phase_flip,0.1,pauli_y,0.741357,0.445339,18
0.5,attack,phase_flip,0.1,pauli_z,0.512158,0.38804,13
0.5,attack,phase_flip,0.1,entanglement_disruption,0.463623,0.375906,16
0.5,attack,bit_phase_flip,0.1,pauli_x,0.602734,0.410684,17
0.5,attack,bit_phase_flip,0.1,pauli_y,0.686133,0.431533,14
0.5,attack,bit_phase_flip,0.1,pauli_z,0.483105,0.380776,13
0.5,attack,bit_phase_flip,0.1,entanglement_disruption,0.418457,0.364614,14
0.5,attack,depolarizing,0.1,pauli_x,0.596045,0.409011,12
0.5,attack,depolarizing,0.1,pauli_y,0.63291,0.418228,12
0.5,attack,depolarizing,0.1,pauli_z,0.598389,0.409597,15
0.5,attack,depolarizing,0.1,entanglement_disruption,0.397851,0.359463,11
0.5,attack,readout,0.1,pauli_x,0.608301,0.412075,14
0.5,attack,readout,0.1,pauli_y,0.705225,0.436306,16
0.5,attack,readout,0.1,pauli_z,0.61792,0.41448,14
0.5,attack,readout,0.1,entanglement_disruption,0.416309,0.364077,14
0.6,normal,bit_flip,0.0,none,0.0,0.26,0
0.6,normal,bit_flip,0.05,none,0.085498,0.285649,0
0.6,normal,bit_flip,0.1,none,0.194775,0.318433,0
0.6,normal,bit_flip,0.15,none,0.222168,0.32665,0
0.6,normal,bit_flip,0.2,none,0.287598,0.346279,6
0.6,normal,phase_flip,0.0,none,0.0,0.26,0
0.6,normal,phase_flip,0.05,none,0.06748,0.280244,0
0.6,normal,phase_flip,0.1,none,0.141992,0.302598,0
0.6,normal,phase_flip,0.15,none,0.203418,0.321025,0
0.6,normal,phase_flip,0.2,none,0.245361,0.333608,1
0.6,normal,bit_phase_flip,0.0,none,0.0,0.26,0
0.6,normal,bit_phase_flip,0.05,none,0.155518,0.306655,0
0.6,normal,bit_phase_flip,0.1,none,0.238037,0.331411,0
0.6,normal,bit_phase_flip,0.15,none,0.273486,0.342046,9
0.6,normal,bit_phase_flip,0.2,none,0.327197,0.358159,11
0.6,normal,depolarizing,0.0,none,0.0,0.26,0
0.6,normal,depolarizing,0.05,none,0.089258,0.286777,0
0.6,normal,depolarizing,0.1,none,0.146094,0.303828,0
0.6,normal,depolarizing,0.15,none,0.184961,0.315488,0
0.6,normal,depolarizing,0.2,none,0.307568,0.35227,4
0.6,normal,readout,0.0,none,0.0,0.26,0
0.6,normal,readout,0.05,none,0.104443,0.291333,0
0.6,normal,readout,0.1,none,0.192041,0.317612,0
0.6,normal,readout,0.15,none,0.269971,0.340991,0
0.6,normal,readout,0.2,none,0.362207,0.368662,12
0.6,attack,bit_flip,0.1,pauli_x,0.555615,0.426685,12
0.6,attack,bit_flip,0.1,pauli_y,0.713965,0.474189,15
0.6,attack,bit_flip,0.1,pauli_z,0.623438,0.447031,15
0.6,attack,bit_flip,0.1,entanglement_disruption,0.417187,0.385156,10
0.6,attack,phase_flip,0.1,pauli_x,0.621777,0.446533,11
0.6,attack,phase_flip,0.1,pauli_y,0.579346,0.433804,11
0.6,attack,phase_flip,0.1,pauli_z,0.395703,0.378711,10
0.6,attack,phase_flip,0.1,entanglement_disruption,0.452637,0.395791,15
0.6,attack,bit_phase_flip,0.1,pauli_x,0.537744,0.421323,14
0.6,attack,bit_phase_flip,0.1,pauli_y,0.640576,0.452173,12
0.6,attack,bit_phase_flip,0.1,pauli_z,0.396631,0.378989,11
0.6,attack,bit_phase_flip,0.1,entanglement_disruption,0.461524,0.398457,15
0.6,attack,depolarizing,0.1,pauli_x,0.577344,0.433203,11
0.6,attack,depolarizing,0.1,pauli_y,0.641553,0.452466,13
0.6,attack,depolarizing,0.1,pauli_z,0.554834,0.42645,14
0.6,attack,depolarizing,0.1,entanglement_disruption,0.442334,0.3927,14
0.6,attack,readout,0.1,pauli_x,0.548682,0.424604,12
0.6,attack,readout,0.1,pauli_y,0.648584,0.454575,14
0.6,attack,readout,0.1,pauli_z,0.488379,0.406514,10
0.6,attack,readout,0.1,entanglement_disruption,0.372852,0.371855,10
0.8,normal,bit_flip,0.0,none,0.0,0.26,0
0.8,normal,bit_flip,0.05,none,0.101123,0.300449,0
0.8,normal,bit_flip,0.1,none,0.169824,0.32793,0
0.8,normal,bit_flip,0.15,none,0.255225,0.36209,0
0.8,normal,bit_flip,0.2,none,0.284424,0.37377,1
0.8,normal,phase_flip,0.0,none,0.0,0.26,0
0.8,normal,phase_flip,0.05,none,0.074854,0.289941,0
0.8,normal,phase_flip,0.1,none,0.141113,0.316445,0
0.8,normal,phase_flip,0.15,none,0.20376,0.341504,0
0.8,normal,phase_flip,0.2,none,0.229688,0.351875,0
0.8,normal,bit_phase_flip,0.0,none,0.0,0.26,0
0.8,normal,bit_phase_flip,0.05,none,0.144922,0.317969,0
0.8,normal,bit_phase_flip,0.1,none,0.247412,0.358965,0
0.8,normal,bit_phase_flip,0.15,none,0.344678,0.397871,4
0.8,normal,bit_phase_flip,0.2,none,0.402051,0.42082,15
0.8,normal,depolarizing,0.0,none,0.0,0.26,0
0.8,normal,depolarizing,0.05,none,0.089648,0.295859,0
0.8,normal,depolarizing,0.1,none,0.168896,0.327559,0
0.8,normal,depolarizing,0.15,none,0.209522,0.343809,0
0.8,normal,depolarizing,0.2,none,0.301074,0.38043,0
0.8,normal,readout,0.0,none,0.0,0.26,0
0.8,normal,readout,0.05,none,0.111621,0.304648,0
0.8,normal,readout,0.1,none,0.208154,0.343262,0
0.8,normal,readout,0.15,none,0.271338,0.368535,0
0.8,normal,readout,0.2,none,0.349024,0.399609,0
0.8,attack,bit_flip,0.1,pauli_x,0.591016,0.495117,13
0.8,attack,bit_flip,0.1,pauli_y,0.590283,0.489582,12
0.8,attack,bit_flip,0.1,pauli_z,0.470215,0.448086,11
0.8,attack,bit_flip,0.1,entanglement_disruption,0.443994,0.437598,13
0.8,attack,phase_flip,0.1,pauli_x,0.662109,0.509844,14
0.8,attack,phase_flip,0.1,pauli_y,0.690723,0.515289,14
0.8,attack,phase_flip,0.1,pauli_z,0.630762,0.512305,16
0.8,attack,phase_flip,0.1,entanglement_disruption,0.456006,0.442402,15
0.8,attack,bit_phase_flip,0.1,pauli_x,0.676562,0.529066,16
0.8,attack,bit_phase_flip,0.1,pauli_y,0.633252,0.501039,12
0.8,attack,bit_phase_flip,0.1,pauli_z,0.448047,0.439219,12
0.8,attack,bit_phase_flip,0.1,entanglement_disruption,0.441553,0.436621,14
0.8,attack,depolarizing,0.1,pauli_x,0.693896,0.524629,15
0.8,attack,depolarizing,0.1,pauli_y,0.609375,0.493652,12
0.8,attack,depolarizing,0.1,pauli_z,0.568213,0.487285,14
0.8,attack,depolarizing,0.1,entanglement_disruption,0.448438,0.439375,15
0.8,attack,readout,0.1,pauli_x,0.597363,0.498945,14
0.8,attack,readout,0.1,pauli_y,0.588574,0.49543,12
0.8,attack,readout,0.1,pauli_z,0.571728,0.488691,13
0.8,attack,readout,0.1,entanglement_disruption,0.357129,0.402852,9
1.0,normal,bit_flip,0.0,none,0.0,0.26,0
1.0,normal,bit_flip,0.05,none,0.10249,0.311245,0
1.0,normal,bit_flip,0.1,none,0.15459,0.337295,0
1.0,normal,bit_flip,0.15,none,0.232715,0.376357,0
1.0,normal,bit_flip,0.2,none,0.29165,0.405825,0
1.0,normal,phase_flip,0.0,none,0.0,0.26,0
1.0,normal,phase_flip,0.05,none,0.083643,0.301821,0
1.0,normal,phase_flip,0.1,none,0.170898,0.345449,0
1.0,normal,phase_flip,0.15,none,0.165967,0.342983,0
1.0,normal,phase_flip,0.2,none,0.218604,0.369302,0
1.0,normal,bit_phase_flip,0.0,none,0.0,0.26,0
1.0,normal,bit_phase_flip,0.05,none,0.187695,0.353848,0
1.0,normal,bit_phase_flip,0.1,none,0.220947,0.370474,0
1.0,normal,bit_phase_flip,0.15,none,0.336279,0.42814,0
1.0,normal,bit_phase_flip,0.2,none,0.415283,0.467642,0
1.0,normal,depolarizing,0.0,none,0.0,0.26,0
1.0,normal,depolarizing,0.05,none,0.102637,0.311318,0
1.0,normal,depolarizing,0.1,none,0.18584,0.35292,0
1.0,normal,depolarizing,0.15,none,0.169238,0.344619,0
1.0,normal,depolarizing,0.2,none,0.250146,0.385073,0
1.0,normal,readout,0.0,none,0.0,0.26,0
1.0,normal,readout,0.05,none,0.108838,0.314419,0
1.0,normal,readout,0.1,none,0.202148,0.361074,0
1.0,normal,readout,0.15,none,0.282764,0.401382,0
1.0,normal,readout,0.2,none,0.352246,0.436123,0
1.0,attack,bit_flip,0.1,pauli_x,0.471777,0.479113,10
1.0,attack,bit_flip,0.1,pauli_y,0.737744,0.558245,16
1.0,attack,bit_flip,0.1,pauli_z,0.439746,0.452974,10
1.0,attack,bit_flip,0.1,entanglement_disruption,0.436621,0.478311,2
1.0,attack,phase_flip,0.1,pauli_x,0.737109,0.549741,15
1.0,attack,phase_flip,0.1,pauli_y,0.632275,0.507286,12
1.0,attack,phase_flip,0.1,pauli_z,0.547754,0.498,14
1.0,attack,phase_flip,0.1,entanglement_disruption,0.429395,0.474697,0
1.0,attack,bit_phase_flip,0.1,pauli_x,0.552881,0.513529,9
1.0,attack,bit_phase_flip,0.1,pauli_y,0.705908,0.550279,15
1.0,attack,bit_phase_flip,0.1,pauli_z,0.488037,0.498384,13
1.0,attack,bit_phase_flip,0.1,entanglement_disruption,0.395166,0.457583,1
1.0,attack,depolarizing,0.1,pauli_x,0.702148,0.566676,17
1.0,attack,depolarizing,0.1,pauli_y,0.616065,0.510265,12
1.0,attack,depolarizing,0.1,pauli_z,0.606494,0.522349,15
1.0,attack,depolarizing,0.1,entanglement_disruption,0.426416,0.473208,2
1.0,attack,readout,0.1,pauli_x,0.601758,0.525344,14
1.0,attack,readout,0.1,pauli_y,0.559961,0.501858,11
1.0,attack,readout,0.1,pauli_z,0.640674,0.537632,15
1.0,attack,readout,0.1,entanglement_disruption,0.459228,0.489614,1
